length,timestamp,source_ip,destination_ip,protocol
1446,1743680210.806261,151.101.65.140,192.168.0.102,6
1446,1743680210.806263,151.101.65.140,192.168.0.102,6
1287,1743680210.806264,151.101.65.140,192.168.0.102,6
1446,1743680210.806265,151.101.65.140,192.168.0.102,6
1446,1743680210.806266,151.101.65.140,192.168.0.102,6
1446,1743680210.806267,151.101.65.140,192.168.0.102,6
1446,1743680210.806268,151.101.65.140,192.168.0.102,6
1446,1743680210.806269,151.101.65.140,192.168.0.102,6
1446,1743680210.80627,151.101.65.140,192.168.0.102,6
1446,1743680210.806271,151.101.65.140,192.168.0.102,6
1446,1743680210.806273,151.101.65.140,192.168.0.102,6
1446,1743680210.806273,151.101.65.140,192.168.0.102,6
1446,1743680210.806274,151.101.65.140,192.168.0.102,6
1446,1743680210.806275,151.101.65.140,192.168.0.102,6
1446,1743680210.806276,151.101.65.140,192.168.0.102,6
1446,1743680210.806277,151.101.65.140,192.168.0.102,6
1446,1743680210.80661,151.101.65.140,192.168.0.102,6
1446,1743680210.806612,151.101.65.140,192.168.0.102,6
1446,1743680210.806613,151.101.65.140,192.168.0.102,6
78,1743680210.806793,192.168.0.102,151.101.65.140,6
78,1743680210.806863,192.168.0.102,151.101.65.140,6
66,1743680210.806884,192.168.0.102,142.250.203.206,6
78,1743680210.806895,192.168.0.102,151.101.65.140,6
78,1743680210.806901,192.168.0.102,151.101.65.140,6
1446,1743680210.807308,151.101.65.140,192.168.0.102,6
1446,1743680210.80731,151.101.65.140,192.168.0.102,6
1446,1743680210.807311,151.101.65.140,192.168.0.102,6
78,1743680210.807349,192.168.0.102,151.101.65.140,6
1446,1743680210.808827,151.101.65.140,192.168.0.102,6
1446,1743680210.808836,151.101.65.140,192.168.0.102,6
1446,1743680210.808838,151.101.65.140,192.168.0.102,6
66,1743680210.808839,142.250.203.206,192.168.0.102,6
73,1743680210.808839,8.8.4.4,192.168.0.102,17
1446,1743680210.80884,151.101.65.140,192.168.0.102,6
1446,1743680210.808841,151.101.65.140,192.168.0.102,6
686,1743680210.808842,142.250.203.206,192.168.0.102,6
1466,1743680210.808843,142.250.203.206,192.168.0.102,6
1466,1743680210.808844,142.250.203.206,192.168.0.102,6
1466,1743680210.808845,142.250.203.206,192.168.0.102,6
1466,1743680210.808846,142.250.203.206,192.168.0.102,6
73,1743680210.808847,8.8.4.4,192.168.0.102,17
1446,1743680210.808848,151.101.65.140,192.168.0.102,6
1446,1743680210.808849,151.101.65.140,192.168.0.102,6
1323,1743680210.80885,151.101.65.140,192.168.0.102,6
66,1743680210.808851,151.101.65.140,192.168.0.102,6
66,1743680210.808852,151.101.65.140,192.168.0.102,6
66,1743680210.808852,151.101.65.140,192.168.0.102,6
89,1743680210.808853,8.8.4.4,192.168.0.102,17
66,1743680210.808854,151.101.65.140,192.168.0.102,6
78,1743680210.808985,192.168.0.102,151.101.65.140,6
66,1743680210.80904,192.168.0.102,142.250.203.206,6
66,1743680210.809562,192.168.0.102,142.250.203.206,6
66,1743680210.81129,151.101.65.140,192.168.0.102,6
1466,1743680210.814523,142.250.203.206,192.168.0.102,6
1466,1743680210.814526,142.250.203.206,192.168.0.102,6
66,1743680210.814527,151.101.65.140,192.168.0.102,6
66,1743680210.814528,151.101.65.140,192.168.0.102,6
66,1743680210.814529,151.101.65.140,192.168.0.102,6
66,1743680210.81453,151.101.65.140,192.168.0.102,6
66,1743680210.814531,151.101.65.140,192.168.0.102,6
66,1743680210.814532,151.101.65.140,192.168.0.102,6
66,1743680210.814532,151.101.65.140,192.168.0.102,6
66,1743680210.814533,151.101.65.140,192.168.0.102,6
66,1743680210.814534,151.101.65.140,192.168.0.102,6
66,1743680210.814534,151.101.65.140,192.168.0.102,6
66,1743680210.814535,151.101.65.140,192.168.0.102,6
66,1743680210.814536,151.101.65.140,192.168.0.102,6
66,1743680210.814537,151.101.65.140,192.168.0.102,6
66,1743680210.814537,151.101.65.140,192.168.0.102,6
66,1743680210.814538,151.101.65.140,192.168.0.102,6
572,1743680210.814538,8.8.4.4,192.168.0.102,17
574,1743680210.814539,8.8.4.4,192.168.0.102,17
572,1743680210.81454,8.8.4.4,192.168.0.102,17
69,1743680210.814541,8.8.4.4,192.168.0.102,17
66,1743680210.814704,192.168.0.102,142.250.203.206,6
66,1743680210.815345,192.168.0.102,142.250.203.206,6
97,1743680210.815497,192.168.0.102,142.250.203.206,6
65,1743680210.81667,8.8.4.4,192.168.0.102,17
